status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CONFIRMED,41.6855,2.578,1.08,,,5766.0,4.5
CONFIRMED,41.6855,2.23,0.93,,546.0,5766.0,4.5
CONFIRMED,41.688644,2.355,0.96,,,5703.0,4.38
CANDIDATE,2.30183,1.12,0.76,,1054.0,4616.52,4.54
CANDIDATE,2.302368,1.313,0.71,,,4720.0,4.5
CANDIDATE,1.1947488,4.19,0.57,,,3919.0,
CANDIDATE,6.178369,9.913,0.79,,,5015.0,4.67
CANDIDATE,6.17887,8.84,0.85,,772.0,4719.28,4.46
CANDIDATE,1.17589,0.86,0.31,,,,
CANDIDATE,10.6966,1.45,0.59,,,,
CANDIDATE,1.5374115,45.0,1.6,,,,
CANDIDATE,2.71189,4.34,3.17,,2336.0,6402.0,3.54
CANDIDATE,18.10549,2.1,1.22,,,6213.0,4.32
CONFIRMED,6.7987,1.047,0.28,,,3648.0,5.0
CANDIDATE,79.9999,10.2,0.51,,,4542.0,4.75
CANDIDATE,,30.0,0.71,,,,
CANDIDATE,17.77297,26.44,1.25,,830.0,5847.0,4.27
CANDIDATE,0.99656225,32.8,0.5,,,3727.0,
CANDIDATE,14.9139,3.24,0.65,,,,
CANDIDATE,14.912381,3.55,0.65,,,4224.0,
CANDIDATE,0.57303573,3.35,0.43,,,3570.0,
CONFIRMED,28.1656,1.87,,,,,
CONFIRMED,28.1696,2.2,0.37,,,,
CANDIDATE,7.9069606,3.02,0.52,,,3772.0,
CANDIDATE,7.90417,2.06,0.37,,,,
CANDIDATE,1.0829614,1.56,0.56,,,3875.0,
CANDIDATE,0.905655,1.57,0.58,,,,
CANDIDATE,0.90552205,1.52,0.5,,,3710.0,
CANDIDATE,2.7541129,4.87,0.55,,,3834.0,
CANDIDATE,2.75421,8.4,0.89,,,,
CANDIDATE,2.75391,3.78,0.44,,,3918.0,4.85
FALSE POSITIVE,50.285869,3.47,0.74,,,4859.0,
FALSE POSITIVE,50.27762,209.52,10.96,,1466.0,5141.0,
CANDIDATE,10.50439,1.75,0.88,,,,
CANDIDATE,1.684208,5.51,0.43,,,,
CANDIDATE,0.21219899,1.05,0.37,,,3468.0,
CANDIDATE,0.212194,0.77,0.26,,,3299.0,5.11
CANDIDATE,0.2122013,0.519,0.19,,,,
CANDIDATE,1.57771549,,1.16,,,5163.0,4.25
CANDIDATE,1.5778643,7.55,0.73,,,4811.0,
CANDIDATE,1.57771549,,2.57,,,7333.0,3.84
CANDIDATE,13.0113,2.43,0.88,,713.0,5347.0,4.51
CANDIDATE,40.70206194,,0.57,,,3759.0,4.67
CANDIDATE,21.204739,9.11,1.76,,,5154.0,3.91
FALSE POSITIVE,2.5194039,7.657,1.76,219.34,,6380.0,
FALSE POSITIVE,2.519334,3.91,1.45,,,6283.0,4.17
FALSE POSITIVE,2.5194078,7.99,1.72,,,7119.0,
FALSE POSITIVE,2.51881781,,1.76,,,6380.0,
FALSE POSITIVE,2.519386,19.6,2.03,,,,
CANDIDATE,13.38382,2.7,0.66,,608.0,5113.71,4.73
CANDIDATE,13.383629,2.873,0.82,,,5216.0,4.7
CANDIDATE,11.8951,,0.68,,,5040.0,
CANDIDATE,40.1401,20.8,0.72,,,,
CANDIDATE,7.4433,2.73,0.72,,,,
CANDIDATE,2.638,2.91,,,1313.0,4264.47,
CANDIDATE,27.47083,3.36,0.75,,480.0,4947.03,4.6
CANDIDATE,2.8268121,40.1,0.98,,,5736.0,
CONFIRMED,0.72091,1.5,0.94,,,5633.0,4.4
CANDIDATE,4.4416421,1.17,0.9,,,5547.0,
CANDIDATE,4.44044,1.32,1.05,,,,
CANDIDATE,4.441258,1.124,0.83,,,5450.0,4.54
CANDIDATE,11.20381,2.18,1.1,,,,
CANDIDATE,8.006875,2.384,0.85,,,5403.0,4.54
CANDIDATE,3.3643115,85.6,1.32,,,6240.0,
CONFIRMED,2.13174,0.692,,,,,
CANDIDATE,13.837814,1.96,0.7,,,4535.0,
CANDIDATE,13.8394,1.29,0.55,,,,
CANDIDATE,7.7991586,1.57,0.7,,,4535.0,
CANDIDATE,7.79983,1.37,0.55,,,,
CANDIDATE,3.883,1.06,0.55,162.0,,,
CANDIDATE,2.33293,3.2,0.22,,,3508.0,5.06
CANDIDATE,2.333123,2.95,0.22,,,,
CANDIDATE,2.3330982,5.48,0.5,,,3726.0,
CANDIDATE,20.2073,2.12,0.76,,,,
CANDIDATE,36.7099,,5.34,,,5069.12,
CANDIDATE,36.762337,3.44,0.75,,,4932.0,
CANDIDATE,19.565799,6.412,0.85,,,4486.0,4.65
CANDIDATE,6.39916,1.48,0.7,,,,
CANDIDATE,6.3991398,1.85,0.8,,,5210.0,
CANDIDATE,2.72273204,,2.86,,,8002.0,3.81
CANDIDATE,15.695142,2.028,0.62,,,4270.0,4.72
CANDIDATE,2.48038,1.44,1.27,,,,
CANDIDATE,1.96712,1.73,0.83,,,,
CANDIDATE,1.9668579,1.51,0.77,,,5063.0,
FALSE POSITIVE,,,0.52,,,4419.0,
CANDIDATE,12.726743,1.91,0.73,,,4767.0,
CANDIDATE,13.2359,2.09,0.92,,,,
CANDIDATE,0.18746328,217.0,17.27,,,46696.0,
CANDIDATE,8.63795,15.1,0.44,,,,
CANDIDATE,8.6381,15.99,0.5,,536.0,3987.0,
CANDIDATE,8.63829,6.81,0.44,,,3960.0,4.84
CANDIDATE,8.6382631,8.53,0.5,,,3720.0,
FALSE POSITIVE,5.7968861,24.2,0.72,,,4721.0,
FALSE POSITIVE,5.79687,27.81,0.79,,930.0,5192.0,
